Dish ID,Predicted Ingredients,Precision,Recall,Ingredients num Predicted
dish_1557863170,"['Butter lettuce leaves', 'Persian or English cucumber (sliced)', 'Kalamata olives', 'Avocado (sliced)']",0.75,0.75,100%
dish_1557937157,"['Scrambled eggs', 'Bacon (appears to be standard strip bacon)', 'Fresh broccoli florets', 'Cherry tomatoes', 'Fresh strawberries']",0.8,0.8,100%
dish_1557937758,"['Blackberries', 'Raspberries', 'Strawberries (fragments)', 'Sweet potato (cubed)', 'Scrambled eggs']",0.8,0.8,100%
dish_1558031019,"[' Watermelon (cubed)', ' Honeydew melon (cubed)', ' Roasted sweet potatoes (cubed)', ' Bacon strips (appears to be regular cut)']",0.25,0.25,100%
dish_1558031394,"['Cantaloupe chunks', 'Watermelon cubes', 'Sweet potato chunks (roasted)', 'Boiled or steamed potato pieces (appears to be white/yellow variety)']",,,
dish_1558110478,"['Sweet potato chunks', 'Bacon strips', 'Scrambled eggs', 'Fresh blackberries', 'Fresh strawberries']",,,
dish_1558114609,"['Crispy bacon strips', 'Red and green grapes', 'Whole almonds', 'Brown mushrooms (appear to be button or cremini mushrooms)']",,,
dish_1558115364,"[' Russet potatoes (appear to be roasted)', ' Streaky bacon', ' Fuji or Honeycrisp apple', ' Raw almonds']",,,
dish_1558116001,"['Bacon strips (appears to be streaky bacon)', 'Roasted or sautéed baby potatoes (round cut)', 'Yukon Gold or similar yellow potato chunks', 'Red and green grapes', 'Whole almonds', 'Deli-style sausage slices (possibly kielbasa or similar)']",,,
dish_1558116298,"['Red and green seedless grapes', 'Cantaloupe chunks', 'Roasted almonds', 'What appears to be meatballs or protein balls (brown spherical items)']",,,
dish_1558122740,"[' Red and green grapes', ' Gala or Fuji apple', ' Bacon strips', ' Baby spinach leaves', ' Shredded carrots', ' Roasted or boiled yellow potatoes']",,,
dish_1558372771,"[' Gala or Fuji apple', ' Green and red seedless grapes', ' Raw whole almonds', ' Sliced chicken sausage (appears to be a cooked variety)']",,,
dish_1558373492,"['Red and green seedless grapes', 'Dry roasted almonds', 'Cheddar cheese cubes', 'Chicken or turkey meatballs']",,,
dish_1558376483,"[' Raw almonds', ' Meatballs (appears to be cooked)', ' Red seedless grapes', ' Green seedless grapes', ' Cantaloupe chunks']",,,
dish_1558376984,"['Fuji or Honeycrisp apple', 'Raw whole almonds', 'Red seedless grapes', 'Fresh arugula leaves', 'Roasted chestnuts (appears to be peeled)']",,,
